ansatz,n_qubits,K,bins,pairs,KL,FP2,FP2_haar,FP2_offset
1,8,1200,75,200000,0.025762853622129038,0.88885908755,0.9368263493656483,0.047967261815648365
2,8,1200,75,200000,0.021174158442659026,0.89637568375,0.9368263493656483,0.04045066561564836
3,8,1200,75,200000,0.005180014966730433,0.9132365728,0.9368263493656483,0.023589776565648313
4,8,1200,75,200000,0.017592998906055004,0.9005494993,0.9368263493656483,0.0362768500656484
